epoch,accuracy,loss,val_accuracy,val_loss
0,0.3736506998538971,1.3269250392913818,0.4207492768764496,1.2809044122695923
1,0.637973964214325,1.0003284215927124,0.6426513195037842,0.9602492451667786
2,0.798505425453186,0.586846113204956,0.6829971075057983,0.8155748248100281
3,0.8469415903091431,0.41693565249443054,0.680115282535553,0.826673686504364
4,0.8851370215415955,0.32402870059013367,0.6570605039596558,0.9155570864677429
5,0.9047882556915283,0.2660047113895416,0.6772334575653076,0.9685834050178528
6,0.9277608394622803,0.2196342647075653,0.6685879230499268,1.0207122564315796
7,0.9427068829536438,0.181303471326828,0.6714697480201721,1.0770936012268066
8,0.9532244801521301,0.15648196637630463,0.6455331444740295,1.1276720762252808
9,0.9593135714530945,0.1377498358488083,0.6599423885345459,1.1422946453094482
10,0.9662330746650696,0.11789800226688385,0.6368876099586487,1.2527295351028442
11,0.9690008163452148,0.1058344691991806,0.6426513195037842,1.2646502256393433
12,0.9701079726219177,0.09657829254865646,0.6628242135047913,1.311632513999939
13,0.972875714302063,0.09421142190694809,0.6714697480201721,1.3844995498657227
14,0.9739828109741211,0.0917622298002243,0.6714697480201721,1.3890081644058228
15,0.9753667116165161,0.08554746210575104,0.6570605039596558,1.416130781173706
16,0.974259614944458,0.07805056869983673,0.651296854019165,1.47697913646698
17,0.975643515586853,0.06995493173599243,0.6657060384750366,1.5225486755371094
18,0.9775809645652771,0.06886056065559387,0.6340057849884033,1.542230486869812
19,0.975089967250824,0.07795531302690506,0.6368876099586487,1.5370423793792725
20,0.9745364189147949,0.07503058761358261,0.6714697480201721,1.5437514781951904
21,0.9775809645652771,0.06359755247831345,0.639769434928894,1.6355605125427246
22,0.9759202599525452,0.06789527088403702,0.651296854019165,1.5917224884033203
23,0.9786880612373352,0.05844103917479515,0.6455331444740295,1.6042921543121338
24,0.9789648652076721,0.05875273793935776,0.6340057849884033,1.7253336906433105
